Order ID,Restaurant Name,Location,Order Time,Delivery Time,Delivery Duration (min),Pizza Size,Pizza Type,Toppings Count,Distance (km),Traffic Level,Payment Method,Is Peak Hour,Is Weekend,Delivery Efficiency (min/km),Topping Density,Order Month,Payment Category,Estimated Duration (min),Delay (min),Is Delayed,Pizza Complexity,Traffic Impact,Order Hour,Restaurant Avg Time
ORD001,Domino's,"New York, NY",2024-01-05 18:30:00,2024-01-05 18:45:00,15,Medium,Veg,3,2.5,Medium,Card,TRUE,FALSE,6,1.2,January,Online,6,9,FALSE,6,2,18,30.25943396
ORD002,Papa John's,"Los Angeles, CA",2024-02-14 20:00:00,2024-02-14 20:25:00,25,Large,Non-Veg,4,5,High,Wallet,TRUE,FALSE,5,0.8,February,Online,12,13,FALSE,12,3,20,28.18627451
ORD003,Little Caesars,"Chicago, IL",2024-03-21 12:15:00,2024-03-21 12:35:00,20,Small,Vegan,2,3,Low,UPI,FALSE,FALSE,6.666666667,0.666666667,March,Online,7.2,12.8,FALSE,2,1,12,28.84422111
ORD004,Pizza Hut,"Miami, FL",2024-04-10 19:45:00,2024-04-10 20:10:00,25,XL,Cheese Burst,5,4.5,Medium,Cash,TRUE,FALSE,5.555555556,1.111111111,April,Offline,10.8,14.2,FALSE,20,2,19,29.94845361
ORD005,Marco's Pizza,"Dallas, TX",2024-05-05 13:00:00,2024-05-05 13:20:00,20,Medium,Non-Veg,3,2,High,Card,FALSE,TRUE,10,1.5,May,Online,4.8,15.2,FALSE,6,3,13,30.28645833
ORD006,Domino's,"New York, NY",2024-01-06 19:00:00,2024-01-06 19:20:00,20,Medium,Non-Veg,3,3,High,Card,TRUE,TRUE,6.666666667,1,January,Online,7.2,12.8,FALSE,6,3,19,30.25943396
ORD007,Papa John's,"Los Angeles, CA",2024-01-07 20:15:00,2024-01-07 20:40:00,25,Large,Veg,4,4.5,Medium,UPI,TRUE,TRUE,5.555555556,0.888888889,January,Online,10.8,14.2,FALSE,12,2,20,28.18627451
ORD008,Little Caesars,"Chicago, IL",2024-01-08 18:30:00,2024-01-08 18:50:00,20,Small,Vegan,2,2,Low,Cash,TRUE,FALSE,10,1,January,Offline,4.8,15.2,FALSE,2,1,18,28.84422111
ORD009,Pizza Hut,"Miami, FL",2024-01-09 19:45:00,2024-01-09 20:10:00,25,XL,Cheese Burst,5,5,High,Wallet,TRUE,FALSE,5,1,January,Online,12,13,FALSE,20,3,19,29.94845361
ORD010,Marco's Pizza,"Dallas, TX",2024-01-10 13:00:00,2024-01-10 13:20:00,20,Medium,Non-Veg,3,3.5,Medium,Card,FALSE,FALSE,5.714285714,0.857142857,January,Online,8.4,11.6,FALSE,6,2,13,30.28645833
ORD011,Domino's,"San Francisco, CA",2024-01-11 17:30:00,2024-01-11 17:50:00,20,Large,Veg,4,4,Low,UPI,FALSE,FALSE,5,1,January,Online,9.6,10.4,FALSE,12,1,17,30.25943396
ORD012,Papa John's,"Houston, TX",2024-01-12 19:00:00,2024-01-12 19:25:00,25,Medium,Non-Veg,3,3,Medium,Cash,TRUE,FALSE,8.333333333,1,January,Offline,7.2,17.8,FALSE,6,2,19,28.18627451
ORD013,Little Caesars,"Phoenix, AZ",2024-01-13 18:15:00,2024-01-13 18:35:00,20,Small,Vegan,2,2.5,High,Wallet,TRUE,TRUE,8,0.8,January,Online,6,14,FALSE,2,3,18,28.84422111
ORD014,Pizza Hut,"Atlanta, GA",2024-01-14 20:30:00,2024-01-14 20:55:00,25,XL,Cheese Burst,5,4,Low,Card,TRUE,TRUE,6.25,1.25,January,Online,9.6,15.4,FALSE,20,1,20,29.94845361
ORD015,Marco's Pizza,"Seattle, WA",2024-01-15 14:00:00,2024-01-15 14:20:00,20,Medium,Non-Veg,3,3,Medium,UPI,FALSE,FALSE,6.666666667,1,January,Online,7.2,12.8,FALSE,6,2,14,30.28645833
ORD016,Domino's,"Denver, CO",2024-01-16 19:45:00,2024-01-16 20:10:00,25,Large,Veg,4,4.5,High,Cash,TRUE,FALSE,5.555555556,0.888888889,January,Offline,10.8,14.2,FALSE,12,3,19,30.25943396
ORD017,Papa John's,"Boston, MA",2024-01-17 18:30:00,2024-01-17 18:55:00,25,Small,Vegan,2,2,Low,Wallet,TRUE,FALSE,12.5,1,January,Online,4.8,20.2,FALSE,2,1,18,28.18627451
ORD018,Little Caesars,"Dallas, TX",2024-01-18 20:00:00,2024-01-18 20:20:00,20,Medium,Non-Veg,3,3.5,Medium,Card,TRUE,FALSE,5.714285714,0.857142857,January,Online,8.4,11.6,FALSE,6,2,20,28.84422111
ORD019,Pizza Hut,"Los Angeles, CA",2024-01-19 19:15:00,2024-01-19 19:40:00,25,XL,Cheese Burst,5,4,High,UPI,TRUE,FALSE,6.25,1.25,January,Online,9.6,15.4,FALSE,20,3,19,29.94845361
ORD020,Marco's Pizza,"Chicago, IL",2024-01-20 13:30:00,2024-01-20 13:50:00,20,Medium,Non-Veg,3,3,Low,Cash,FALSE,TRUE,6.666666667,1,January,Offline,7.2,12.8,FALSE,6,1,13,30.28645833
ORD021,Domino's,"Miami, FL",2024-01-21 18:45:00,2024-01-21 19:10:00,25,Large,Veg,4,4.5,Medium,Wallet,TRUE,TRUE,5.555555556,0.888888889,January,Online,10.8,14.2,FALSE,12,2,18,30.25943396
ORD022,Papa John's,"Dallas, TX",2024-01-22 20:00:00,2024-01-22 20:25:00,25,Small,Vegan,2,2,High,Card,TRUE,FALSE,12.5,1,January,Online,4.8,20.2,FALSE,2,3,20,28.18627451
ORD023,Little Caesars,"Houston, TX",2024-01-23 19:30:00,2024-01-23 19:50:00,20,Medium,Non-Veg,3,3.5,Low,UPI,TRUE,FALSE,5.714285714,0.857142857,January,Online,8.4,11.6,FALSE,6,1,19,28.84422111
ORD024,Pizza Hut,"Phoenix, AZ",2024-01-24 18:15:00,2024-01-24 18:40:00,25,XL,Cheese Burst,5,4,Medium,Cash,TRUE,FALSE,6.25,1.25,January,Offline,9.6,15.4,FALSE,20,2,18,29.94845361
ORD025,Marco's Pizza,"Atlanta, GA",2024-01-25 14:30:00,2024-01-25 14:50:00,20,Medium,Non-Veg,3,3,High,Wallet,FALSE,FALSE,6.666666667,1,January,Online,7.2,12.8,FALSE,6,3,14,30.28645833
ORD026,Domino's,"Seattle, WA",2024-01-26 20:00:00,2024-01-26 20:25:00,25,Large,Veg,4,4.5,Low,Card,TRUE,FALSE,5.555555556,0.888888889,January,Online,10.8,14.2,FALSE,12,1,20,30.25943396
ORD027,Papa John's,"Denver, CO",2024-01-27 19:15:00,2024-01-27 19:40:00,25,Small,Vegan,2,2,Medium,UPI,TRUE,TRUE,12.5,1,January,Online,4.8,20.2,FALSE,2,2,19,28.18627451
ORD028,Little Caesars,"Boston, MA",2024-01-28 18:30:00,2024-01-28 18:50:00,20,Medium,Non-Veg,3,3.5,High,Cash,TRUE,TRUE,5.714285714,0.857142857,January,Offline,8.4,11.6,FALSE,6,3,18,28.84422111
ORD029,Pizza Hut,"Chicago, IL",2024-01-29 20:00:00,2024-01-29 20:25:00,25,XL,Cheese Burst,5,4,Low,Wallet,TRUE,FALSE,6.25,1.25,January,Online,9.6,15.4,FALSE,20,1,20,29.94845361
ORD030,Marco's Pizza,"Miami, FL",2024-01-30 13:15:00,2024-01-30 13:35:00,20,Medium,Non-Veg,3,3,Medium,Card,FALSE,FALSE,6.666666667,1,January,Online,7.2,12.8,FALSE,6,2,13,30.28645833
ORD031,Domino's,"Los Angeles, CA",2024-02-01 19:45:00,2024-02-01 20:10:00,25,Large,Veg,4,4.5,High,UPI,TRUE,FALSE,5.555555556,0.888888889,February,Online,10.8,14.2,FALSE,12,3,19,30.25943396
ORD032,Papa John's,"Phoenix, AZ",2024-02-02 18:00:00,2024-02-02 18:25:00,25,Small,Vegan,2,2,Low,Cash,TRUE,FALSE,12.5,1,February,Offline,4.8,20.2,FALSE,2,1,18,28.18627451
ORD033,Little Caesars,"Atlanta, GA",2024-02-03 20:30:00,2024-02-03 20:55:00,25,Medium,Non-Veg,3,3.5,Medium,Wallet,TRUE,TRUE,7.142857143,0.857142857,February,Online,8.4,16.6,FALSE,6,2,20,28.84422111
ORD034,Pizza Hut,"Dallas, TX",2024-02-04 14:15:00,2024-02-04 14:35:00,20,XL,Cheese Burst,5,4,High,Card,FALSE,TRUE,5,1.25,February,Online,9.6,10.4,FALSE,20,3,14,29.94845361
ORD035,Marco's Pizza,"Seattle, WA",2024-02-05 19:00:00,2024-02-05 19:25:00,25,Medium,Non-Veg,3,3,Low,UPI,TRUE,FALSE,8.333333333,1,February,Online,7.2,17.8,FALSE,6,1,19,30.28645833
ORD036,Domino's,"Houston, TX",2024-02-06 18:45:00,2024-02-06 19:10:00,25,Large,Veg,4,4.5,Medium,Card,TRUE,FALSE,5.555555556,0.888888889,February,Online,10.8,14.2,FALSE,12,2,18,30.25943396
ORD037,Papa John's,"Phoenix, AZ",2024-02-07 20:00:00,2024-02-07 20:25:00,25,Medium,Non-Veg,3,3,High,UPI,TRUE,FALSE,8.333333333,1,February,Online,7.2,17.8,FALSE,6,3,20,28.18627451
ORD038,Little Caesars,"Atlanta, GA",2024-02-08 19:30:00,2024-02-08 19:50:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,8,0.8,February,Offline,6,14,FALSE,2,1,19,28.84422111
ORD039,Pizza Hut,"Dallas, TX",2024-02-09 18:15:00,2024-02-09 18:40:00,25,XL,Cheese Burst,5,4,Medium,Wallet,TRUE,FALSE,6.25,1.25,February,Online,9.6,15.4,FALSE,20,2,18,29.94845361
ORD040,Marco's Pizza,"Seattle, WA",2024-02-10 14:30:00,2024-02-10 14:50:00,20,Medium,Non-Veg,3,3.5,High,Card,FALSE,TRUE,5.714285714,0.857142857,February,Online,8.4,11.6,FALSE,6,3,14,30.28645833
ORD041,Domino's,"Denver, CO",2024-02-11 19:00:00,2024-02-11 19:20:00,20,Large,Veg,4,4,Low,UPI,TRUE,TRUE,5,1,February,Online,9.6,10.4,FALSE,12,1,19,30.25943396
